"sample_id","created","pathogens","type","animal","anamnese","farm_id","country"
"7643","2022-04-26 13:55:49","{""Bovine coronavirus"": 1, ""Mycoplasmopsis bovirhinis"": 3, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","7642","BE"
"7644","2022-04-26 13:55:49","{""Mesomycoplasma dispar"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","7642","BE"
"7645","2022-04-26 13:55:49","{""Mycoplasmopsis bovirhinis"": 3, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","7642","BE"
"7646","2022-04-26 13:55:49","{""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","7642","BE"
"7670","2022-04-28 10:47:50","{""Bovine coronavirus"": 1, ""Mycoplasmopsis bovis"": 1, ""Mannheimia"": 1, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing"", ""coughing""]}}","7669","BE"
"7671","2022-04-28 10:47:50","{""Mycoplasmopsis bovis"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing"", ""coughing""]}}","7669","BE"
"7672","2022-04-28 10:47:50","{""Pasteurella multocida"": 3, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing"", ""coughing""]}}","7669","BE"
"7673","2022-04-28 10:47:50","{""Bovine coronavirus"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing"", ""coughing""]}}","7669","BE"
"7674","2022-04-28 10:47:50","NULL","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing"", ""coughing""]}}","7669","BE"
"7809","2022-05-06 10:18:09","{""Mycoplasmopsis bovis"": 1, ""Mesomycoplasma dispar"": 3, ""Bovine rhinitis B virus"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing"", ""coughing""]}}","7808","BE"
"7870","2022-05-11 14:33:02","{""Mycoplasmopsis bovis"": 1, ""Metamycoplasma alkalescens"": 3, ""Influenza D virus"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing"", ""coughing""]}}","7869","BE"
"8115","2022-05-31 14:46:45","{""Mycoplasma"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever"", ""depression"", ""decreasedAppetite"", ""lessMilk"", ""reducedRumenMotility""], ""respirationClinicalSigns"": [""nasalDischarge"", ""coughing""]}}","8114","BE"
"8132","2022-06-01 11:31:26","{""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever""], ""respirationClinicalSigns"": [""coughing""]}}","8131","BE"
"8133","2022-06-01 11:31:26","{""Ureaplasma"": 1, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever""], ""respirationClinicalSigns"": [""coughing""]}}","8131","BE"
"8134","2022-06-01 11:31:26","{""Paracoccus"": 1, ""Ureaplasma"": 1, ""Bovine adenovirus 4"": 1, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever""], ""respirationClinicalSigns"": [""coughing""]}}","8131","BE"
"8135","2022-06-01 11:31:26","{""Pasteurella"": 1, ""Ureaplasma"": 1, ""Bovine orthopneumovirus"": 1, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever""], ""respirationClinicalSigns"": [""coughing""]}}","8131","BE"
"8136","2022-06-01 11:31:26","{""Bovine orthopneumovirus"": 3, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever""], ""respirationClinicalSigns"": [""coughing""]}}","8131","BE"
"8254","2022-06-08 15:51:56","{""Mesomycoplasma dispar"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","8253","BE"
"8255","2022-06-08 15:51:56","{""Bovine orthopneumovirus"": 5, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","8253","BE"
"8499","2022-06-29 10:16:32","{""Mycoplasmopsis bovirhinis"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing""]}}","8498","BE"
"8650","2022-07-12 14:22:06","NULL","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever"", ""depression"", ""decreasedAppetite"", ""lessMilk""], ""respirationClinicalSigns"": [""nasalDischarge"", ""dyspnea""]}}","8649","BE"
"8754","2022-07-25 16:42:23","NULL","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing""]}}","8753","BE"
