"","Lab_reference","Country","Breed","Province","Farm_ID","Diagnostic_test","Sample_type","Samplenumber","Date_month","Date_week","Date","Pathogen","Result"
"20","3","Belgium","Beef","Hainaut","015552cf2a7bb8a16a25538c38b8496d26417bbec46e4a62743199d9964758ee","Culture","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-03-01,2019-02-25,2019-03-02,"PI3",NA
"21","3","Belgium","Beef","Hainaut","015552cf2a7bb8a16a25538c38b8496d26417bbec46e4a62743199d9964758ee","Culture","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-03-01,2019-02-25,2019-03-02,"BCV",NA
"22","3","Belgium","Beef","Hainaut","015552cf2a7bb8a16a25538c38b8496d26417bbec46e4a62743199d9964758ee","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-03-01,2019-02-25,2019-03-02,"PM",0
"23","3","Belgium","Beef","Hainaut","015552cf2a7bb8a16a25538c38b8496d26417bbec46e4a62743199d9964758ee","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-03-01,2019-02-25,2019-03-02,"MH",0
"24","3","Belgium","Beef","Hainaut","015552cf2a7bb8a16a25538c38b8496d26417bbec46e4a62743199d9964758ee","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-03-01,2019-02-25,2019-03-02,"HS",0
"25","3","Belgium","Beef","Hainaut","015552cf2a7bb8a16a25538c38b8496d26417bbec46e4a62743199d9964758ee","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-03-01,2019-02-25,2019-03-02,"MB",1
"26","3","Belgium","Beef","Hainaut","015552cf2a7bb8a16a25538c38b8496d26417bbec46e4a62743199d9964758ee","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-03-01,2019-02-25,2019-03-02,"BRSV",0
"27","3","Belgium","Beef","Hainaut","015552cf2a7bb8a16a25538c38b8496d26417bbec46e4a62743199d9964758ee","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-03-01,2019-02-25,2019-03-02,"PI3",1
"28","3","Belgium","Beef","Hainaut","015552cf2a7bb8a16a25538c38b8496d26417bbec46e4a62743199d9964758ee","PCR","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-03-01,2019-02-25,2019-03-02,"BCV",NA
"29","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","Culture","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"PM",0
"30","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","Culture","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"MH",0
"31","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","Culture","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"HS",0
"32","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","Culture","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"MB",0
"33","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","Culture","Autopsy","438fa3f4eb046bb2bdde13947c3a253f9215914b2f62a186acb6ceda9830e308",2024-06-01,2024-06-24,2024-06-26,"BRSV",NA
