"","Lab_reference","Country","Breed","Province","Farm_ID","Diagnostic_test","Sample_type","Samplenumber","Date","Date_month","Date_week","Pathogen","Result"
"20","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","37b50968f83d27bb3787032c9cdea887ba7e0211c32131daf5a1b692de1f2c2c",2017-09-22 10:59:50,2017-09-01,2017-09-17,"PM",1
"21","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"BCV",0
"22","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"BRSV",0
"23","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"HS",1
"24","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"MB",0
"25","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"MH",1
"26","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"PI3",0
"27","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"PM",0
"28","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","7d610f6636f9e68e0d6eb619462134c19509641f4fff1c6ca189377918225222",2016-12-30 09:58:06,2016-12-01,2016-12-25,"BCV",0
"29","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","7d610f6636f9e68e0d6eb619462134c19509641f4fff1c6ca189377918225222",2016-12-30 09:58:06,2016-12-01,2016-12-25,"BRSV",0
"30","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","7d610f6636f9e68e0d6eb619462134c19509641f4fff1c6ca189377918225222",2016-12-30 09:58:06,2016-12-01,2016-12-25,"HS",0
"31","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","7d610f6636f9e68e0d6eb619462134c19509641f4fff1c6ca189377918225222",2016-12-30 09:58:06,2016-12-01,2016-12-25,"MB",1
"32","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","7d610f6636f9e68e0d6eb619462134c19509641f4fff1c6ca189377918225222",2016-12-30 09:58:06,2016-12-01,2016-12-25,"MH",NA
"33","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","7d610f6636f9e68e0d6eb619462134c19509641f4fff1c6ca189377918225222",2016-12-30 09:58:06,2016-12-01,2016-12-25,"PI3",0
"34","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","7d610f6636f9e68e0d6eb619462134c19509641f4fff1c6ca189377918225222",2016-12-30 09:58:06,2016-12-01,2016-12-25,"PM",0
"35","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","844837cadfa0a36556ca8e1713757e3baaab5d7f9e4b1d17b2f2f6496864c551",2023-09-13 08:52:24,2023-09-01,2023-09-10,"BCV",0
"36","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","844837cadfa0a36556ca8e1713757e3baaab5d7f9e4b1d17b2f2f6496864c551",2023-09-13 08:52:24,2023-09-01,2023-09-10,"BRSV",0
"37","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","844837cadfa0a36556ca8e1713757e3baaab5d7f9e4b1d17b2f2f6496864c551",2023-09-13 08:52:24,2023-09-01,2023-09-10,"HS",0
"38","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","844837cadfa0a36556ca8e1713757e3baaab5d7f9e4b1d17b2f2f6496864c551",2023-09-13 08:52:24,2023-09-01,2023-09-10,"MB",1
"39","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","844837cadfa0a36556ca8e1713757e3baaab5d7f9e4b1d17b2f2f6496864c551",2023-09-13 08:52:24,2023-09-01,2023-09-10,"MH",0
"40","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","844837cadfa0a36556ca8e1713757e3baaab5d7f9e4b1d17b2f2f6496864c551",2023-09-13 08:52:24,2023-09-01,2023-09-10,"PI3",0
"41","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","844837cadfa0a36556ca8e1713757e3baaab5d7f9e4b1d17b2f2f6496864c551",2023-09-13 08:52:24,2023-09-01,2023-09-10,"PM",1
"42","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","Culture","Autopsy","62981ac44057d03503900ceb9dcaea49015eeb48cd1621ea3cfb1b6e32ba176e",2019-07-04 08:37:31,2019-07-01,2019-06-30,"HS",0
"43","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","Culture","Autopsy","62981ac44057d03503900ceb9dcaea49015eeb48cd1621ea3cfb1b6e32ba176e",2019-07-04 08:37:31,2019-07-01,2019-06-30,"MB",NA
"44","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","Culture","Autopsy","62981ac44057d03503900ceb9dcaea49015eeb48cd1621ea3cfb1b6e32ba176e",2019-07-04 08:37:31,2019-07-01,2019-06-30,"MH",0
"45","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","Culture","Autopsy","62981ac44057d03503900ceb9dcaea49015eeb48cd1621ea3cfb1b6e32ba176e",2019-07-04 08:37:31,2019-07-01,2019-06-30,"PM",0
"46","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","Culture","BAL","ca789c13311a54a0ffa788638500dda1725365b9fff750a112166ad8c3ce417b",2019-08-30 11:01:59,2019-08-01,2019-08-25,"HS",0
"47","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","Culture","BAL","ca789c13311a54a0ffa788638500dda1725365b9fff750a112166ad8c3ce417b",2019-08-30 11:01:59,2019-08-01,2019-08-25,"MH",0
"48","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","Culture","BAL","ca789c13311a54a0ffa788638500dda1725365b9fff750a112166ad8c3ce417b",2019-08-30 11:01:59,2019-08-01,2019-08-25,"PM",1
"49","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","PCR","Autopsy","62981ac44057d03503900ceb9dcaea49015eeb48cd1621ea3cfb1b6e32ba176e",2019-07-04 08:37:31,2019-07-01,2019-06-30,"BCV",1
"50","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","PCR","Autopsy","62981ac44057d03503900ceb9dcaea49015eeb48cd1621ea3cfb1b6e32ba176e",2019-07-04 08:37:31,2019-07-01,2019-06-30,"BRSV",0
"51","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","PCR","Autopsy","62981ac44057d03503900ceb9dcaea49015eeb48cd1621ea3cfb1b6e32ba176e",2019-07-04 08:37:31,2019-07-01,2019-06-30,"HS",0
"52","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","PCR","Autopsy","62981ac44057d03503900ceb9dcaea49015eeb48cd1621ea3cfb1b6e32ba176e",2019-07-04 08:37:31,2019-07-01,2019-06-30,"MB",0
"53","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","PCR","Autopsy","62981ac44057d03503900ceb9dcaea49015eeb48cd1621ea3cfb1b6e32ba176e",2019-07-04 08:37:31,2019-07-01,2019-06-30,"MH",0
"54","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","PCR","Autopsy","62981ac44057d03503900ceb9dcaea49015eeb48cd1621ea3cfb1b6e32ba176e",2019-07-04 08:37:31,2019-07-01,2019-06-30,"PI3",0
"55","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","PCR","Autopsy","62981ac44057d03503900ceb9dcaea49015eeb48cd1621ea3cfb1b6e32ba176e",2019-07-04 08:37:31,2019-07-01,2019-06-30,"PM",0
"56","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","PCR","BAL","8bc644815925237d657982058057afce0dcb9bcd288c36a10958db77c1d92aa8",2017-07-20 08:43:47,2017-07-01,2017-07-16,"BCV",0
"57","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","PCR","BAL","8bc644815925237d657982058057afce0dcb9bcd288c36a10958db77c1d92aa8",2017-07-20 08:43:47,2017-07-01,2017-07-16,"BRSV",0
"58","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","PCR","BAL","8bc644815925237d657982058057afce0dcb9bcd288c36a10958db77c1d92aa8",2017-07-20 08:43:47,2017-07-01,2017-07-16,"HS",0
"59","1","Belgium","Beef","Antwerp","2cb6db460fd8b3928b9a2612c02a1317aeab087bc3483f639ed357c4211e3fd8","PCR","BAL","8bc644815925237d657982058057afce0dcb9bcd288c36a10958db77c1d92aa8",2017-07-20 08:43:47,2017-07-01,2017-07-16,"MB",0
